,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,62,32,0.3191489327750114,0.09161793363390064,12.825,0.4337231968810916,0.1603125,12.825,445,1024,2.5009746588693957,0,7.594541910331384
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,57,37,0.2127659551833409,0.14803149582987166,8.698630136986301,0.352755905511811,0.11915931694501783,8.698630136986301,224,618,2.211023622047244,1,6.807874015748031
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64,38,0.2549019582852749,0.10917537734125972,9.784090909090908,0.437862950058072,0.11118285123966941,9.784090909090908,377,851,2.519163763066202,0,7.62137049941928
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,62,23,0.4588235240138409,0.13295615257007617,8.220930232558139,0.33663366336633666,0.09559221200648998,8.220930232558139,238,701,2.2248939179632248,0,6.874115983026874
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,58,25,0.3975903566555379,0.11421628175672384,9.797619047619047,0.37667071688942894,0.11663832199546485,9.797619047619047,310,813,2.27460510328068,0,7.078979343863913
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,25,0.2857142816326531,0.16607773822247748,9.758620689655173,0.37279151943462896,0.16825208085612367,9.758620689655173,211,555,2.295053003533569,1,7.146643109540636
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,26,13,0.33333332478632505,0.25613078949283163,7.489795918367347,0.4250681198910082,0.15285297792586422,7.489795918367347,156,361,2.332425068119891,0,7.0190735694822886
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,34,14,0.4166666579861113,0.2732558131591401,8.820512820512821,0.2877906976744186,0.22616699539776464,8.820512820512821,99,337,2.0697674418604652,0,6.709302325581396
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,66,40,0.2452830165539338,0.09353233821539071,11.292134831460674,0.373134328358209,0.1268779194546143,11.292134831460674,375,996,2.31044776119403,0,6.980099502487562
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,46,63,-0.1559633013214376,0.09978768566901519,9.145631067961165,0.3481953290870488,0.08879253464039967,9.145631067961165,328,926,2.305732484076433,1,7.025477707006369
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,35,21,0.24999999553571436,0.15537190056963324,10.431034482758621,0.43636363636363634,0.17984542211652796,10.431034482758621,264,599,2.5107438016528927,0,7.714049586776859
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,30,29,0.016949152255099114,0.14896988882889084,8.302631578947368,0.3613312202852615,0.10924515235457063,8.302631578947368,228,624,2.231378763866878,0,6.8415213946117275
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,58,24,0.4146341412849495,0.13864306764211937,8.582278481012658,0.3997050147492625,0.10863643646851466,8.582278481012658,271,673,2.4085545722713864,12,7.3023598820058995
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,63,22,0.4823529355017302,0.12617449647493356,8.869047619047619,0.3651006711409396,0.10558390022675737,8.869047619047619,272,732,2.3328859060402682,0,7.183892617449664
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,25,1,0.9230768875739658,0.32302405387276956,11.64,0.4020618556701031,0.4656,11.64,117,287,2.4364261168384878,0,7.457044673539519
